klub,price_type,price_pln,duration_min,description
Interpadel Warszawa,court,50.0,90,cena z tekstu strony
Interpadel Warszawa,court,65.0,90,cena z tekstu strony
Interpadel Warszawa,court,90.0,90,cena z tekstu strony
Loba Padel,court,95.0,90,cena z tekstu strony
Loba Padel,court,190.0,90,cena z tekstu strony
Loba Padel,court,280.0,90,cena z tekstu strony
RQT Spot,court,50.0,90,cena z tekstu strony
RQT Spot,court,65.0,90,cena z tekstu strony
RQT Spot,court,75.0,90,cena z tekstu strony
RQT Spot,court,100.0,90,cena z tekstu strony
Rakiety PGE Narodowy,court,60.0,90,cena z tekstu strony
Rakiety PGE Narodowy,court,75.0,90,cena z tekstu strony
Rakiety PGE Narodowy,court,130.0,90,cena z tekstu strony
Rakiety PGE Narodowy,court,200.0,90,cena z tekstu strony
Rakiety PGE Narodowy,court,260.0,90,cena z tekstu strony
Warsaw Padel Club,court,50.0,90,cena z tekstu strony
Warsaw Padel Club,court,95.0,90,cena z tekstu strony
Warsaw Padel Club,court,100.0,90,cena z tekstu strony
Warsaw Padel Club,court,105.0,90,cena z tekstu strony
Warsaw Padel Club,court,150.0,90,cena z tekstu strony
