klub,data,dzien_tygodnia,typ_dnia,godzina,pora_dnia,nawierzchnia,format_kortu,slotow_lacznie,slotow_zajętych,slotow_wolnych,oblozenie_pct
Interpadel Warszawa,2026-05-24,Sunday,weekend,8,rano (6-10),unknown,double,6,3,3,50.0
Interpadel Warszawa,2026-05-24,Sunday,weekend,10,poludnie (10-14),unknown,double,4,2,2,50.0
Interpadel Warszawa,2026-05-24,Sunday,weekend,12,poludnie (10-14),unknown,double,2,1,1,50.0
Interpadel Warszawa,2026-05-24,Sunday,weekend,17,popoludnie (14-18),unknown,double,2,1,1,50.0
Loba Padel,2026-05-24,Sunday,weekend,7,rano (6-10),unknown,double,2,1,1,50.0
Loba Padel,2026-05-24,Sunday,weekend,10,poludnie (10-14),unknown,double,6,3,3,50.0
Loba Padel,2026-05-24,Sunday,weekend,12,poludnie (10-14),unknown,double,4,2,2,50.0
Loba Padel,2026-05-24,Sunday,weekend,17,popoludnie (14-18),unknown,double,4,2,2,50.0
RQT Spot,2026-05-24,Sunday,weekend,9,rano (6-10),unknown,double,2,1,1,50.0
RQT Spot,2026-05-24,Sunday,weekend,11,poludnie (10-14),unknown,double,4,2,2,50.0
RQT Spot,2026-05-24,Sunday,weekend,12,poludnie (10-14),unknown,double,2,1,1,50.0
RQT Spot,2026-05-24,Sunday,weekend,12,poludnie (10-14),unknown,single,2,1,1,50.0
RQT Spot,2026-05-24,Sunday,weekend,15,popoludnie (14-18),unknown,double,2,1,1,50.0
RQT Spot,2026-05-24,Sunday,weekend,19,wieczor (18-22),unknown,single,2,1,1,50.0
RQT Spot,2026-05-24,Sunday,weekend,21,wieczor (18-22),unknown,double,2,1,1,50.0
Rakiety PGE Narodowy,2026-05-24,Sunday,weekend,8,rano (6-10),unknown,double,4,2,2,50.0
Rakiety PGE Narodowy,2026-05-24,Sunday,weekend,9,rano (6-10),unknown,double,2,1,1,50.0
Rakiety PGE Narodowy,2026-05-24,Sunday,weekend,10,poludnie (10-14),unknown,double,2,1,1,50.0
Rakiety PGE Narodowy,2026-05-24,Sunday,weekend,11,poludnie (10-14),unknown,double,2,1,1,50.0
Rakiety PGE Narodowy,2026-05-24,Sunday,weekend,12,poludnie (10-14),unknown,double,2,1,1,50.0
Rakiety PGE Narodowy,2026-05-24,Sunday,weekend,14,popoludnie (14-18),unknown,double,2,1,1,50.0
Rakiety PGE Narodowy,2026-05-24,Sunday,weekend,15,popoludnie (14-18),unknown,double,2,1,1,50.0
Warsaw Padel Club,2026-05-24,Sunday,weekend,7,rano (6-10),unknown,double,2,1,1,50.0
Warsaw Padel Club,2026-05-24,Sunday,weekend,8,rano (6-10),unknown,double,4,2,2,50.0
Warsaw Padel Club,2026-05-24,Sunday,weekend,10,poludnie (10-14),unknown,double,4,2,2,50.0
Warsaw Padel Club,2026-05-24,Sunday,weekend,12,poludnie (10-14),unknown,double,3,1,2,33.3
Warsaw Padel Club,2026-05-24,Sunday,weekend,12,poludnie (10-14),unknown,single,1,1,0,100.0
Warsaw Padel Club,2026-05-24,Sunday,weekend,14,popoludnie (14-18),unknown,double,2,1,1,50.0
